pais,fecha inicio,fecha fin,dias,semana,total muertes reportadas,total muertes reportadas por covid
Mexico,2014-12-29,2015-01-04,7,1,15101,0
Mexico,2015-01-05,2015-01-11,7,2,15449,0
Mexico,2015-01-12,2015-01-18,7,3,14820,0
Mexico,2015-01-19,2015-01-25,7,4,14172,0
Mexico,2015-01-26,2015-02-01,7,5,13628,0
Mexico,2015-02-02,2015-02-08,7,6,13914,0
Mexico,2015-02-09,2015-02-15,7,7,13550,0
Mexico,2015-02-16,2015-02-22,7,8,13799,0
Mexico,2015-02-23,2015-03-01,7,9,13054,0
Mexico,2015-03-02,2015-03-08,7,10,12979,0
Mexico,2015-03-09,2015-03-15,7,11,12498,0
Mexico,2015-03-16,2015-03-22,7,12,13133,0
Mexico,2015-03-23,2015-03-29,7,13,12066,0
Mexico,2015-03-30,2015-04-05,7,14,12477,0
Mexico,2015-04-06,2015-04-12,7,15,12202,0
Mexico,2015-04-13,2015-04-19,7,16,11796,0
Mexico,2015-04-20,2015-04-26,7,17,12403,0
Mexico,2015-04-27,2015-05-03,7,18,11763,0
Mexico,2015-05-04,2015-05-10,7,19,12059,0
Mexico,2015-05-11,2015-05-17,7,20,11732,0
Mexico,2015-05-18,2015-05-24,7,21,11856,0
Mexico,2015-05-25,2015-05-31,7,22,11608,0
Mexico,2015-06-01,2015-06-07,7,23,11876,0
Mexico,2015-06-08,2015-06-14,7,24,11709,0
Mexico,2015-06-15,2015-06-21,7,25,11510,0
Mexico,2015-06-22,2015-06-28,7,26,11571,0
Mexico,2015-06-29,2015-07-05,7,27,11583,0
Mexico,2015-07-06,2015-07-12,7,28,11538,0
Mexico,2015-07-13,2015-07-19,7,29,12003,0
Mexico,2015-07-20,2015-07-26,7,30,11947,0
Mexico,2015-07-27,2015-08-02,7,31,12083,0
Mexico,2015-08-03,2015-08-09,7,32,12237,0
Mexico,2015-08-10,2015-08-16,7,33,11739,0
Mexico,2015-08-17,2015-08-23,7,34,11670,0
Mexico,2015-08-24,2015-08-30,7,35,11680,0
Mexico,2015-08-31,2015-09-06,7,36,11668,0
Mexico,2015-09-07,2015-09-13,7,37,11814,0
Mexico,2015-09-14,2015-09-20,7,38,11957,0
Mexico,2015-09-21,2015-09-27,7,39,11560,0
Mexico,2015-09-28,2015-10-04,7,40,12484,0
Mexico,2015-10-05,2015-10-11,7,41,12397,0
Mexico,2015-10-12,2015-10-18,7,42,12063,0
Mexico,2015-10-19,2015-10-25,7,43,12221,0
Mexico,2015-10-26,2015-11-01,7,44,12153,0
Mexico,2015-11-02,2015-11-08,7,45,12543,0
Mexico,2015-11-09,2015-11-15,7,46,12217,0
Mexico,2015-11-16,2015-11-22,7,47,12542,0
Mexico,2015-11-23,2015-11-29,7,48,12597,0
Mexico,2015-11-30,2015-12-06,7,49,12830,0
Mexico,2015-12-07,2015-12-13,7,50,13526,0
Mexico,2015-12-14,2015-12-20,7,51,13542,0
Mexico,2015-12-21,2015-12-27,7,52,14351,0
Mexico,2015-12-28,2016-01-03,7,53,14170,0
Mexico,2016-01-04,2016-01-10,7,1,14299,0
Mexico,2016-01-11,2016-01-17,7,2,14540,0
Mexico,2016-01-18,2016-01-24,7,3,14557,0
Mexico,2016-01-25,2016-01-31,7,4,14902,0
Mexico,2016-02-01,2016-02-07,7,5,15160,0
Mexico,2016-02-08,2016-02-14,7,6,15691,0
Mexico,2016-02-15,2016-02-21,7,7,15725,0
Mexico,2016-02-22,2016-02-28,7,8,15034,0
Mexico,2016-02-29,2016-03-06,7,9,14797,0
Mexico,2016-03-07,2016-03-13,7,10,14351,0
Mexico,2016-03-14,2016-03-20,7,11,14025,0
Mexico,2016-03-21,2016-03-27,7,12,13418,0
Mexico,2016-03-28,2016-04-03,7,13,13411,0
Mexico,2016-04-04,2016-04-10,7,14,12710,0
Mexico,2016-04-11,2016-04-17,7,15,12422,0
Mexico,2016-04-18,2016-04-24,7,16,11939,0
Mexico,2016-04-25,2016-05-01,7,17,12481,0
Mexico,2016-05-02,2016-05-08,7,18,12723,0
Mexico,2016-05-09,2016-05-15,7,19,12478,0
Mexico,2016-05-16,2016-05-22,7,20,12483,0
Mexico,2016-05-23,2016-05-29,7,21,13019,0
Mexico,2016-05-30,2016-06-05,7,22,12222,0
Mexico,2016-06-06,2016-06-12,7,23,12011,0
Mexico,2016-06-13,2016-06-19,7,24,11994,0
Mexico,2016-06-20,2016-06-26,7,25,12117,0
Mexico,2016-06-27,2016-07-03,7,26,12203,0
Mexico,2016-07-04,2016-07-10,7,27,12439,0
Mexico,2016-07-11,2016-07-17,7,28,12241,0
Mexico,2016-07-18,2016-07-24,7,29,12316,0
Mexico,2016-07-25,2016-07-31,7,30,12141,0
Mexico,2016-08-01,2016-08-07,7,31,12456,0
Mexico,2016-08-08,2016-08-14,7,32,12173,0
Mexico,2016-08-15,2016-08-21,7,33,12261,0
Mexico,2016-08-22,2016-08-28,7,34,12245,0
Mexico,2016-08-29,2016-09-04,7,35,12137,0
Mexico,2016-09-05,2016-09-11,7,36,12285,0
Mexico,2016-09-12,2016-09-18,7,37,12491,0
Mexico,2016-09-19,2016-09-25,7,38,12203,0
Mexico,2016-09-26,2016-10-02,7,39,12300,0
Mexico,2016-10-03,2016-10-09,7,40,12500,0
Mexico,2016-10-10,2016-10-16,7,41,12201,0
Mexico,2016-10-17,2016-10-23,7,42,12365,0
Mexico,2016-10-24,2016-10-30,7,43,12506,0
Mexico,2016-10-31,2016-11-06,7,44,12735,0
Mexico,2016-11-07,2016-11-13,7,45,12478,0
Mexico,2016-11-14,2016-11-20,7,46,12837,0
Mexico,2016-11-21,2016-11-27,7,47,13616,0
Mexico,2016-11-28,2016-12-04,7,48,13678,0
Mexico,2016-12-05,2016-12-11,7,49,13396,0
Mexico,2016-12-12,2016-12-18,7,50,13697,0
Mexico,2016-12-19,2016-12-25,7,51,13784,0
Mexico,2016-12-26,2017-01-01,7,52,14313,0
Mexico,2017-01-02,2017-01-08,7,1,14312,0
Mexico,2017-01-09,2017-01-15,7,2,14583,0
Mexico,2017-01-16,2017-01-22,7,3,14163,0
Mexico,2017-01-23,2017-01-29,7,4,14118,0
Mexico,2017-01-30,2017-02-05,7,5,14444,0
Mexico,2017-02-06,2017-02-12,7,6,14330,0
Mexico,2017-02-13,2017-02-19,7,7,14165,0
Mexico,2017-02-20,2017-02-26,7,8,14278,0
Mexico,2017-02-27,2017-03-05,7,9,14456,0
Mexico,2017-03-06,2017-03-12,7,10,13844,0
Mexico,2017-03-13,2017-03-19,7,11,13948,0
Mexico,2017-03-20,2017-03-26,7,12,13878,0
Mexico,2017-03-27,2017-04-02,7,13,13307,0
Mexico,2017-04-03,2017-04-09,7,14,13470,0
Mexico,2017-04-10,2017-04-16,7,15,13210,0
Mexico,2017-04-17,2017-04-23,7,16,13212,0
Mexico,2017-04-24,2017-04-30,7,17,13363,0
Mexico,2017-05-01,2017-05-07,7,18,13016,0
Mexico,2017-05-08,2017-05-14,7,19,12868,0
Mexico,2017-05-15,2017-05-21,7,20,13361,0
Mexico,2017-05-22,2017-05-28,7,21,13165,0
Mexico,2017-05-29,2017-06-04,7,22,12510,0
Mexico,2017-06-05,2017-06-11,7,23,12753,0
Mexico,2017-06-12,2017-06-18,7,24,12724,0
Mexico,2017-06-19,2017-06-25,7,25,13154,0
Mexico,2017-06-26,2017-07-02,7,26,12736,0
Mexico,2017-07-03,2017-07-09,7,27,12502,0
Mexico,2017-07-10,2017-07-16,7,28,12822,0
Mexico,2017-07-17,2017-07-23,7,29,12512,0
Mexico,2017-07-24,2017-07-30,7,30,12923,0
Mexico,2017-07-31,2017-08-06,7,31,12967,0
Mexico,2017-08-07,2017-08-13,7,32,12464,0
Mexico,2017-08-14,2017-08-20,7,33,12638,0
Mexico,2017-08-21,2017-08-27,7,34,12432,0
Mexico,2017-08-28,2017-09-03,7,35,12172,0
Mexico,2017-09-04,2017-09-10,7,36,12933,0
Mexico,2017-09-11,2017-09-17,7,37,13333,0
Mexico,2017-09-18,2017-09-24,7,38,13164,0
Mexico,2017-09-25,2017-10-01,7,39,12604,0
Mexico,2017-10-02,2017-10-08,7,40,13026,0
Mexico,2017-10-09,2017-10-15,7,41,13031,0
Mexico,2017-10-16,2017-10-22,7,42,13390,0
Mexico,2017-10-23,2017-10-29,7,43,13216,0
Mexico,2017-10-30,2017-11-05,7,44,13538,0
Mexico,2017-11-06,2017-11-12,7,45,13258,0
Mexico,2017-11-13,2017-11-19,7,46,13197,0
Mexico,2017-11-20,2017-11-26,7,47,13584,0
Mexico,2017-11-27,2017-12-03,7,48,14233,0
Mexico,2017-12-04,2017-12-10,7,49,14470,0
Mexico,2017-12-11,2017-12-17,7,50,16334,0
Mexico,2017-12-18,2017-12-24,7,51,15557,0
Mexico,2017-12-25,2017-12-31,7,52,15492,0
Mexico,2018-01-01,2018-01-07,7,1,16721,0
Mexico,2018-01-08,2018-01-14,7,2,16170,0
Mexico,2018-01-15,2018-01-21,7,3,16738,0
Mexico,2018-01-22,2018-01-28,7,4,16041,0
Mexico,2018-01-29,2018-02-04,7,5,15770,0
Mexico,2018-02-05,2018-02-11,7,6,15306,0
Mexico,2018-02-12,2018-02-18,7,7,14588,0
Mexico,2018-02-19,2018-02-25,7,8,14199,0
Mexico,2018-02-26,2018-03-04,7,9,14001,0
Mexico,2018-03-05,2018-03-11,7,10,13552,0
Mexico,2018-03-12,2018-03-18,7,11,13497,0
Mexico,2018-03-19,2018-03-25,7,12,13254,0
Mexico,2018-03-26,2018-04-01,7,13,13191,0
Mexico,2018-04-02,2018-04-08,7,14,13577,0
Mexico,2018-04-09,2018-04-15,7,15,12888,0
Mexico,2018-04-16,2018-04-22,7,16,13080,0
Mexico,2018-04-23,2018-04-29,7,17,12657,0
Mexico,2018-04-30,2018-05-06,7,18,13040,0
Mexico,2018-05-07,2018-05-13,7,19,12784,0
